From	To	Species	Gene Name
NM_001086	AADAC	Homo sapiens	arylacetamide deacetylase(AADAC)
NM_001087	AAMP	Homo sapiens	angio associated migratory cell protein(AAMP)
NM_001088	AANAT	Homo sapiens	aralkylamine N-acetyltransferase(AANAT)
NM_001111270	ARHGEF25	Homo sapiens	Rho guanine nucleotide exchange factor 25(ARHGEF25)
NM_025031	PKD1L1-AS1	Homo sapiens	PKD1L1 antisense RNA 1(PKD1L1-AS1)
NM_001080	ALDH5A1	Homo sapiens	aldehyde dehydrogenase 5 family member A1(ALDH5A1)
NM_015670	SENP3	Homo sapiens	SUMO specific peptidase 3(SENP3)
NM_015672	RIMBP3	Homo sapiens	RIMS binding protein 3(RIMBP3)
NM_001023	RPS20	Homo sapiens	ribosomal protein S20(RPS20)
NM_003686	EXO1	Homo sapiens	exonuclease 1(EXO1)
NM_001024	RPS21	Homo sapiens	ribosomal protein S21(RPS21)
NM_003685	KHSRP	Homo sapiens	KH-type splicing regulatory protein(KHSRP)
NM_001025	RPS23	Homo sapiens	ribosomal protein S23(RPS23)
NM_003688	CASK	Homo sapiens	calcium/calmodulin dependent serine protein kinase(CASK)
NM_001026	RPS24	Homo sapiens	ribosomal protein S24(RPS24)
NM_003687	PDLIM4	Homo sapiens	PDZ and LIM domain 4(PDLIM4)
NM_001028	RPS25	Homo sapiens	ribosomal protein S25(RPS25)
NM_003689	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
NM_001029	RPS26	Homo sapiens	ribosomal protein S26(RPS26)
NM_003690	PRKRA	Homo sapiens	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)
NM_001030	RPS27	Homo sapiens	ribosomal protein S27(RPS27)
NM_003693	SCARF1	Homo sapiens	scavenger receptor class F member 1(SCARF1)
NM_001031	RPS28	Homo sapiens	ribosomal protein S28(RPS28)
NM_003692	TMEFF1	Homo sapiens	transmembrane protein with EGF like and two follistatin like domains 1(TMEFF1)
NM_001032	RPS29	Homo sapiens	ribosomal protein S29(RPS29)
NM_003695	LY6D	Homo sapiens	lymphocyte antigen 6 family member D(LY6D)
NM_001033	RRM1	Homo sapiens	ribonucleotide reductase catalytic subunit M1(RRM1)
NM_015665	AAAS	Homo sapiens	aladin WD repeat nucleoporin(AAAS)
NM_015666	MTG2	Homo sapiens	mitochondrial ribosome associated GTPase 2(MTG2)
NM_025000	DCAF17	Homo sapiens	DDB1 and CUL4 associated factor 17(DCAF17)
NM_015667	SPATA31A7	Homo sapiens	SPATA31 subfamily A member 7(SPATA31A7)
NM_015668	RGS22	Homo sapiens	regulator of G protein signaling 22(RGS22)
NM_015669	PCDHB5	Homo sapiens	protocadherin beta 5(PCDHB5)
NM_025009	CEP135	Homo sapiens	centrosomal protein 135(CEP135)
NM_025008	ADAMTSL4	Homo sapiens	ADAMTS like 4(ADAMTSL4)
NM_015660	GIMAP2	Homo sapiens	GTPase, IMAP family member 2(GIMAP2)
NM_025003	ADAMTS20	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 20(ADAMTS20)
NM_015662	IFT172	Homo sapiens	intraflagellar transport 172(IFT172)
NM_025004	CCDC15	Homo sapiens	coiled-coil domain containing 15(CCDC15)
NM_001012	RPS8	Homo sapiens	ribosomal protein S8(RPS8)
NM_003675	PRPF18	Homo sapiens	pre-mRNA processing factor 18(PRPF18)
NM_001013	RPS9	Homo sapiens	ribosomal protein S9(RPS9)
NM_001014	RPS10	Homo sapiens	ribosomal protein S10(RPS10)
NM_003677	DENR	Homo sapiens	density regulated re-initiation and release factor(DENR)
NM_001015	RPS11	Homo sapiens	ribosomal protein S11(RPS11)
NM_001016	RPS12	Homo sapiens	ribosomal protein S12(RPS12)
NM_003679	KMO	Homo sapiens	kynurenine 3-monooxygenase(KMO)
NM_001017	RPS13	Homo sapiens	ribosomal protein S13(RPS13)
NM_003678	THOC5	Homo sapiens	THO complex subunit 5(THOC5)
NM_001018	RPS15	Homo sapiens	ribosomal protein S15(RPS15)
NM_001019	RPS15A	Homo sapiens	ribosomal protein S15a(RPS15A)
NM_003680	YARS1	Homo sapiens	tyrosyl-tRNA synthetase 1(YARS1)
NM_003682	MADD	Homo sapiens	MAP kinase activating death domain(MADD)
NM_001020	RPS16	Homo sapiens	ribosomal protein S16(RPS16)
NM_003681	PDXK	Homo sapiens	pyridoxal kinase(PDXK)
NM_001135208	FKBP2	Homo sapiens	FKBP prolyl isomerase 2(FKBP2)
NM_001021	RPS17	Homo sapiens	ribosomal protein S17(RPS17)
NM_003684	MKNK1	Homo sapiens	MAPK interacting serine/threonine kinase 1(MKNK1)
NM_001022	RPS19	Homo sapiens	ribosomal protein S19(RPS19)
NM_003683	RRP1	Homo sapiens	ribosomal RNA processing 1(RRP1)
NM_015653	RIBC2	Homo sapiens	RIB43A domain with coiled-coils 2(RIBC2)
NM_015654	NAT9	Homo sapiens	N-acetyltransferase 9(NAT9)
NM_025010	KLHL18	Homo sapiens	kelch like family member 18(KLHL18)
NM_015655	ZNF337	Homo sapiens	zinc finger protein 337(ZNF337)
NM_015656	KIF26A	Homo sapiens	kinesin family member 26A(KIF26A)
NM_015657	ABCA12	Homo sapiens	ATP binding cassette subfamily A member 12(ABCA12)
NM_015658	NOC2L	Homo sapiens	NOC2 like nucleolar associated transcriptional repressor(NOC2L)
NM_015659	RSL1D1	Homo sapiens	ribosomal L1 domain containing 1(RSL1D1)
NM_015690	STK36	Homo sapiens	serine/threonine kinase 36(STK36)
NM_015691	WWC3	Homo sapiens	WWC family member 3(WWC3)
NM_015692	CPAMD8	Homo sapiens	C3 and PZP like alpha-2-macroglobulin domain containing 8(CPAMD8)
NM_015693	INTU	Homo sapiens	inturned planar cell polarity protein(INTU)
NM_015694	ZNF777	Homo sapiens	zinc finger protein 777(ZNF777)
NM_015695	BRPF3	Homo sapiens	bromodomain and PHD finger containing 3(BRPF3)
NM_015696	GPX7	Homo sapiens	glutathione peroxidase 7(GPX7)
NM_001045	SLC6A4	Homo sapiens	solute carrier family 6 member 4(SLC6A4)
NM_001123228	TMEM14EP	Homo sapiens	transmembrane protein 14E, pseudogene(TMEM14EP)
NM_001046	SLC12A2	Homo sapiens	solute carrier family 12 member 2(SLC12A2)
NM_001047	SRD5A1	Homo sapiens	steroid 5 alpha-reductase 1(SRD5A1)
NM_001123226	MTO1	Homo sapiens	mitochondrial tRNA translation optimization 1(MTO1)
NM_001123225	SYCE3	Homo sapiens	synaptonemal complex central element protein 3(SYCE3)
NM_001049	SSTR1	Homo sapiens	somatostatin receptor 1(SSTR1)
NM_001050	SSTR2	Homo sapiens	somatostatin receptor 2(SSTR2)
NM_001051	SSTR3	Homo sapiens	somatostatin receptor 3(SSTR3)
NM_001053	SSTR5	Homo sapiens	somatostatin receptor 5(SSTR5)
NM_001054	SULT1A2	Homo sapiens	sulfotransferase family 1A member 2(SULT1A2)
NM_001055	SULT1A1	Homo sapiens	sulfotransferase family 1A member 1(SULT1A1)
NM_015686	NALF2	Homo sapiens	NALCN channel auxiliary factor 2(NALF2)
NM_015687	FILIP1	Homo sapiens	filamin A interacting protein 1(FILIP1)
NM_015688	FAM184B	Homo sapiens	family with sequence similarity 184 member B(FAM184B)
NM_015689	DENND2A	Homo sapiens	DENN domain containing 2A(DENND2A)
NM_015680	CNPPD1	Homo sapiens	cyclin Pas1/PHO80 domain containing 1(CNPPD1)
NM_015681	B9D1	Homo sapiens	B9 domain containing 1(B9D1)
NM_015683	ARRDC2	Homo sapiens	arrestin domain containing 2(ARRDC2)
NM_015684	DMAC2L	Homo sapiens	distal membrane arm assembly component 2 like(DMAC2L)
NM_015685	SDCBP2	Homo sapiens	syndecan binding protein 2(SDCBP2)
NM_001034	RRM2	Homo sapiens	ribonucleotide reductase regulatory subunit M2(RRM2)
NM_001035	RYR2	Homo sapiens	ryanodine receptor 2(RYR2)
NM_003696	OR6A2	Homo sapiens	olfactory receptor family 6 subfamily A member 2(OR6A2)
NM_001036	RYR3	Homo sapiens	ryanodine receptor 3(RYR3)
NM_001037	SCN1B	Homo sapiens	sodium voltage-gated channel beta subunit 1(SCN1B)
NM_001038	SCNN1A	Homo sapiens	sodium channel epithelial 1 subunit alpha(SCNN1A)
NM_001039	SCNN1G	Homo sapiens	sodium channel epithelial 1 subunit gamma(SCNN1G)
NM_001040	SHBG	Homo sapiens	sex hormone binding globulin(SHBG)
NM_001041	SI	Homo sapiens	sucrase-isomaltase(SI)
NM_001042	SLC2A4	Homo sapiens	solute carrier family 2 member 4(SLC2A4)
NM_001043	SLC6A2	Homo sapiens	solute carrier family 6 member 2(SLC6A2)
NM_001044	SLC6A3	Homo sapiens	solute carrier family 6 member 3(SLC6A3)
NM_015675	GADD45B	Homo sapiens	growth arrest and DNA damage inducible beta(GADD45B)
NM_015676	LYSET	Homo sapiens	lysosomal enzyme trafficking factor(LYSET)
NM_015677	SH3YL1	Homo sapiens	SH3 and SYLF domain containing 1(SH3YL1)
NM_015678	NBEA	Homo sapiens	neurobeachin(NBEA)
NM_015679	TRUB2	Homo sapiens	TruB pseudouridine synthase family member 2(TRUB2)
NM_003649	DDO	Homo sapiens	D-aspartate oxidase(DDO)
NM_015630	EPC2	Homo sapiens	enhancer of polycomb homolog 2(EPC2)
NM_003642	HAT1	Homo sapiens	histone acetyltransferase 1(HAT1)
NM_003641	IFITM1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
NM_003644	GAS7	Homo sapiens	growth arrest specific 7(GAS7)
NM_003643	GCM1	Homo sapiens	glial cells missing transcription factor 1(GCM1)
NM_003646	DGKZ	Homo sapiens	diacylglycerol kinase zeta(DGKZ)
NM_003645	SLC27A2	Homo sapiens	solute carrier family 27 member 2(SLC27A2)
NM_003648	DGKD	Homo sapiens	diacylglycerol kinase delta(DGKD)
NM_003647	DGKE	Homo sapiens	diacylglycerol kinase epsilon(DGKE)
NM_015629	PRPF31	Homo sapiens	pre-mRNA processing factor 31(PRPF31)
NM_003651	YBX3	Homo sapiens	Y-box binding protein 3(YBX3)
NM_003650	CST7	Homo sapiens	cystatin F(CST7)
NM_015621	CCDC69	Homo sapiens	coiled-coil domain containing 69(CCDC69)
NM_015622	CCZ1	Homo sapiens	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated(CCZ1)
NM_015626	WSB1	Homo sapiens	WD repeat and SOCS box containing 1(WSB1)
NM_015627	LDLRAP1	Homo sapiens	low density lipoprotein receptor adaptor protein 1(LDLRAP1)
NM_003639	IKBKG	Homo sapiens	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma(IKBKG)
NM_003638	ITGA8	Homo sapiens	integrin subunit alpha 8(ITGA8)
NM_003631	PARG	Homo sapiens	poly(ADP-ribose) glycohydrolase(PARG)
NM_003630	PEX3	Homo sapiens	peroxisomal biogenesis factor 3(PEX3)
NM_003633	ENC1	Homo sapiens	ectodermal-neural cortex 1(ENC1)
NM_003632	CNTNAP1	Homo sapiens	contactin associated protein 1(CNTNAP1)
NM_003635	NDST2	Homo sapiens	N-deacetylase and N-sulfotransferase 2(NDST2)
NM_003634	NIPSNAP1	Homo sapiens	nipsnap homolog 1(NIPSNAP1)
NM_003637	ITGA10	Homo sapiens	integrin subunit alpha 10(ITGA10)
NM_003636	KCNAB2	Homo sapiens	potassium voltage-gated channel subfamily A regulatory beta subunit 2(KCNAB2)
NM_015617	PYGO1	Homo sapiens	pygopus family PHD finger 1(PYGO1)
NM_003640	ELP1	Homo sapiens	elongator acetyltransferase complex subunit 1(ELP1)
NM_015610	WIPI2	Homo sapiens	WD repeat domain, phosphoinositide interacting 2(WIPI2)
NM_015613	LRIT1	Homo sapiens	leucine rich repeat, Ig-like and transmembrane domains 1(LRIT1)
NM_001009	RPS5	Homo sapiens	ribosomal protein S5(RPS5)
NM_015650	TRAF3IP1	Homo sapiens	TRAF3 interacting protein 1(TRAF3IP1)
NM_015651	PHF19	Homo sapiens	PHD finger protein 19(PHF19)
NM_015652	LCOR	Homo sapiens	ligand dependent nuclear receptor corepressor(LCOR)
NM_001001	RPL36AL	Homo sapiens	ribosomal protein L36a like(RPL36AL)
NM_003664	AP3B1	Homo sapiens	adaptor related protein complex 3 subunit beta 1(AP3B1)
NM_001002	RPLP0	Homo sapiens	ribosomal protein lateral stalk subunit P0(RPLP0)
NM_003663	CGGBP1	Homo sapiens	CGG triplet repeat binding protein 1(CGGBP1)
NM_001003	RPLP1	Homo sapiens	ribosomal protein lateral stalk subunit P1(RPLP1)
NM_003666	BLZF1	Homo sapiens	basic leucine zipper nuclear factor 1(BLZF1)
NM_001004	RPLP2	Homo sapiens	ribosomal protein lateral stalk subunit P2(RPLP2)
NM_003665	FCN3	Homo sapiens	ficolin 3(FCN3)
NM_001005	RPS3	Homo sapiens	ribosomal protein S3(RPS3)
NM_003668	MAPKAPK5	Homo sapiens	MAPK activated protein kinase 5(MAPKAPK5)
NM_001006	RPS3A	Homo sapiens	ribosomal protein S3A(RPS3A)
NM_003667	LGR5	Homo sapiens	leucine rich repeat containing G protein-coupled receptor 5(LGR5)
NM_001007	RPS4X	Homo sapiens	ribosomal protein S4 X-linked(RPS4X)
NM_001008	RPS4Y1	Homo sapiens	ribosomal protein S4 Y-linked 1(RPS4Y1)
NM_003671	CDC14B	Homo sapiens	cell division cycle 14B(CDC14B)
NM_003670	BHLHE40	Homo sapiens	basic helix-loop-helix family member e40(BHLHE40)
NM_001010	RPS6	Homo sapiens	ribosomal protein S6(RPS6)
NM_003673	TCAP	Homo sapiens	titin-cap(TCAP)
NM_001011	RPS7	Homo sapiens	ribosomal protein S7(RPS7)
NM_003672	CDC14A	Homo sapiens	cell division cycle 14A(CDC14A)
NM_015642	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
NM_015649	IRF2BP1	Homo sapiens	interferon regulatory factor 2 binding protein 1(IRF2BP1)
NM_015640	SERBP1	Homo sapiens	SERPINE1 mRNA binding protein 1(SERBP1)
NM_015641	TES	Homo sapiens	testin LIM domain protein(TES)
NM_003653	COPS3	Homo sapiens	COP9 signalosome subunit 3(COPS3)
NM_003652	CPZ	Homo sapiens	carboxypeptidase Z(CPZ)
NM_003655	CBX4	Homo sapiens	chromobox 4(CBX4)
NM_003654	CHST1	Homo sapiens	carbohydrate sulfotransferase 1(CHST1)
NM_003657	BCAS1	Homo sapiens	brain enriched myelin associated protein 1(BCAS1)
NM_003656	CAMK1	Homo sapiens	calcium/calmodulin dependent protein kinase I(CAMK1)
NM_003659	AGPS	Homo sapiens	alkylglycerone phosphate synthase(AGPS)
NM_003658	BARX2	Homo sapiens	BARX homeobox 2(BARX2)
NM_003660	PPFIA3	Homo sapiens	PTPRF interacting protein alpha 3(PPFIA3)
NM_003662	PIR	Homo sapiens	pirin(PIR)
NM_001000	RPL39	Homo sapiens	ribosomal protein L39(RPL39)
NM_003661	APOL1	Homo sapiens	apolipoprotein L1(APOL1)
NM_015631	TCTN3	Homo sapiens	tectonic family member 3(TCTN3)
NM_015633	FGFR1OP2	Homo sapiens	FGFR1 oncogene partner 2(FGFR1OP2)
NM_015634	KIFBP	Homo sapiens	kinesin family binding protein(KIFBP)
NM_015635	GAPVD1	Homo sapiens	GTPase activating protein and VPS9 domains 1(GAPVD1)
NM_015636	EIF2B4	Homo sapiens	eukaryotic translation initiation factor 2B subunit delta(EIF2B4)
NM_015638	TRPC4AP	Homo sapiens	transient receptor potential cation channel subfamily C member 4 associated protein(TRPC4AP)
NM_003608	GPR65	Homo sapiens	G protein-coupled receptor 65(GPR65)
NM_003607	CDC42BPA	Homo sapiens	CDC42 binding protein kinase alpha(CDC42BPA)
NM_003609	HIRIP3	Homo sapiens	HIRA interacting protein 3(HIRIP3)
NM_003600	AURKA	Homo sapiens	aurora kinase A(AURKA)
NM_003601	SMARCA5	Homo sapiens	SNF2 related chromatin remodeling ATPase 5(SMARCA5)
NM_003604	IRS4	Homo sapiens	insulin receptor substrate 4(IRS4)
NM_003603	SORBS2	Homo sapiens	sorbin and SH3 domain containing 2(SORBS2)
NM_003628	PKP4	Homo sapiens	plakophilin 4(PKP4)
NM_003627	SLC43A1	Homo sapiens	solute carrier family 43 member 1(SLC43A1)
NM_003629	PIK3R3	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
NM_003620	PPM1D	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1D(PPM1D)
NM_003622	PPFIBP1	Homo sapiens	PPFIA binding protein 1(PPFIBP1)
NM_003621	PPFIBP2	Homo sapiens	PPFIA binding protein 2(PPFIBP2)
NM_003624	RANBP3	Homo sapiens	RAN binding protein 3(RANBP3)
NM_003626	PPFIA1	Homo sapiens	PTPRF interacting protein alpha 1(PPFIA1)
NM_003625	PPFIA2	Homo sapiens	PTPRF interacting protein alpha 2(PPFIA2)
NM_015607	CHTOP	Homo sapiens	chromatin target of PRMT1(CHTOP)
NM_015608	EDRF1	Homo sapiens	erythroid differentiation regulatory factor 1(EDRF1)
NM_015600	ABHD12	Homo sapiens	abhydrolase domain containing 12, lysophospholipase(ABHD12)
NM_015601	HERC4	Homo sapiens	HECT and RLD domain containing E3 ubiquitin protein ligase 4(HERC4)
NM_015602	TOR1AIP1	Homo sapiens	torsin 1A interacting protein 1(TOR1AIP1)
NM_015603	CCDC9	Homo sapiens	coiled-coil domain containing 9(CCDC9)
NM_001040402	DCUN1D4	Homo sapiens	defective in cullin neddylation 1 domain containing 4(DCUN1D4)
NM_015604	DCAF4	Homo sapiens	DDB1 and CUL4 associated factor 4(DCAF4)
NM_015605	PTPN20	Homo sapiens	protein tyrosine phosphatase non-receptor type 20(PTPN20)
NM_003617	RGS5	Homo sapiens	regulator of G protein signaling 5(RGS5)
NM_003616	GEMIN2	Homo sapiens	gem nuclear organelle associated protein 2(GEMIN2)
NM_003619	PRSS12	Homo sapiens	serine protease 12(PRSS12)
NM_003618	MAP4K3	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 3(MAP4K3)
NM_003611	OFD1	Homo sapiens	OFD1 centriole and centriolar satellite protein(OFD1)
NM_003610	RAE1	Homo sapiens	ribonucleic acid export 1(RAE1)
NM_003613	CILP	Homo sapiens	cartilage intermediate layer protein(CILP)
NM_003612	SEMA7A	Homo sapiens	semaphorin 7A (JohnMiltonHagen blood group)(SEMA7A)
NM_003615	SLC4A7	Homo sapiens	solute carrier family 4 member 7(SLC4A7)
NM_003614	GALR3	Homo sapiens	galanin receptor 3(GALR3)
NM_001040425	U2AF1L4	Homo sapiens	U2 small nuclear RNA auxiliary factor 1 like 4(U2AF1L4)
NM_001040428	SPATA7	Homo sapiens	spermatogenesis associated 7(SPATA7)
NM_001040427	HAGH	Homo sapiens	hydroxyacylglutathione hydrolase(HAGH)
NM_001040424	PRDM15	Homo sapiens	PR/SET domain 15(PRDM15)
NM_001040411	SPATA31G1	Homo sapiens	SPATA31 subfamily G member 1(SPATA31G1)
NM_001040410	SPATA31G1	Homo sapiens	SPATA31 subfamily G member 1(SPATA31G1)
NM_001040412	SPATA31G1	Homo sapiens	SPATA31 subfamily G member 1(SPATA31G1)
NM_003705	SLC25A12	Homo sapiens	solute carrier family 25 member 12(SLC25A12)
NM_003704	FAM193A	Homo sapiens	family with sequence similarity 193 member A(FAM193A)
NM_003707	RUVBL1	Homo sapiens	RuvB like AAA ATPase 1(RUVBL1)
NM_003706	PLA2G4C	Homo sapiens	phospholipase A2 group IVC(PLA2G4C)
NM_003709	KLF7	Homo sapiens	KLF transcription factor 7(KLF7)
NM_003708	RDH16	Homo sapiens	retinol dehydrogenase 16(RDH16)
NM_003701	TNFSF11	Homo sapiens	TNF superfamily member 11(TNFSF11)
NM_003700	OR2D2	Homo sapiens	olfactory receptor family 2 subfamily D member 2(OR2D2)
NM_003703	NOP14	Homo sapiens	NOP14 nucleolar protein(NOP14)
NM_003702	RGS20	Homo sapiens	regulator of G protein signaling 20(RGS20)
NM_001040440	CCDC112	Homo sapiens	coiled-coil domain containing 112(CCDC112)
NM_001040442	FABP6	Homo sapiens	fatty acid binding protein 6(FABP6)
NM_001040441	ZBTB8A	Homo sapiens	zinc finger and BTB domain containing 8A(ZBTB8A)
NM_001040448	DEFB131A	Homo sapiens	defensin beta 131A(DEFB131A)
NM_001040444	PHF11	Homo sapiens	PHD finger protein 11(PHF11)
NM_001040443	PHF11	Homo sapiens	PHD finger protein 11(PHF11)
NM_001040446	MTMR12	Homo sapiens	myotubularin related protein 12(MTMR12)
NM_001040445	ASB1	Homo sapiens	ankyrin repeat and SOCS box containing 1(ASB1)
NM_001040429	PCDH17	Homo sapiens	protocadherin 17(PCDH17)
NM_001039459	ELMO1	Homo sapiens	engulfment and cell motility 1(ELMO1)
NM_001039457	ATP6V0B	Homo sapiens	ATPase H+ transporting V0 subunit b(ATP6V0B)
NM_001040431	COA3	Homo sapiens	cytochrome c oxidase assembly factor 3(COA3)
NM_001040437	SNHG32	Homo sapiens	small nucleolar RNA host gene 32(SNHG32)
NM_001040436	YARS2	Homo sapiens	tyrosyl-tRNA synthetase 2(YARS2)
NM_001040439	MAPK8IP3	Homo sapiens	mitogen-activated protein kinase 8 interacting protein 3(MAPK8IP3)
NM_001040438	SNHG32	Homo sapiens	small nucleolar RNA host gene 32(SNHG32)
NM_001040432	ZCWPW2	Homo sapiens	zinc finger CW-type and PWWP domain containing 2(ZCWPW2)
NM_001039469	MARK2	Homo sapiens	microtubule affinity regulating kinase 2(MARK2)
NM_001039467	RGS19	Homo sapiens	regulator of G protein signaling 19(RGS19)
NM_001040462	BTNL8	Homo sapiens	butyrophilin like 8(BTNL8)
NM_001039465	SRSF5	Homo sapiens	serine and arginine rich splicing factor 5(SRSF5)
NM_001039479	AREL1	Homo sapiens	apoptosis resistant E3 ubiquitin protein ligase 1(AREL1)
NM_001040451	RUFY1	Homo sapiens	RUN and FYVE domain containing 1(RUFY1)
NM_001040450	MINDY2	Homo sapiens	MINDY lysine 48 deubiquitinase 2(MINDY2)
NM_001040453	MINDY2	Homo sapiens	MINDY lysine 48 deubiquitinase 2(MINDY2)
NM_001040452	RUFY1	Homo sapiens	RUN and FYVE domain containing 1(RUFY1)
NM_001039477	THEMIS2	Homo sapiens	thymocyte selection associated family member 2(THEMIS2)
NM_001039476	NPRL3	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
NM_001040458	ERAP1	Homo sapiens	endoplasmic reticulum aminopeptidase 1(ERAP1)
NM_001040455	SIDT2	Homo sapiens	SID1 transmembrane family member 2(SIDT2)
NM_001040454	SLC26A6	Homo sapiens	solute carrier family 26 member 6(SLC26A6)
NM_001040457	RHBDD2	Homo sapiens	rhomboid domain containing 2(RHBDD2)
NM_001040456	RHBDD2	Homo sapiens	rhomboid domain containing 2(RHBDD2)
NM_001039481	ETNK1	Homo sapiens	ethanolamine kinase 1(ETNK1)
NM_001039487	NSUN5P2	Homo sapiens	NSUN5 pseudogene 2(NSUN5P2)
NM_001159293	ZNF737	Homo sapiens	zinc finger protein 737(ZNF737)
NM_001159295	ADAD1	Homo sapiens	adenosine deaminase domain containing 1(ADAD1)
NM_001159296	KLF8	Homo sapiens	KLF transcription factor 8(KLF8)
NM_001015508	PURG	Homo sapiens	purine rich element binding protein G(PURG)
NM_001159291	MICAL1	Homo sapiens	microtubule associated monooxygenase, calponin and LIM domain containing 1(MICAL1)
NM_001039492	FHL2	Homo sapiens	four and a half LIM domains 2(FHL2)
NM_001039496	CATSPERZ	Homo sapiens	catsper channel auxiliary subunit zeta(CATSPERZ)
NM_001039490	CD151	Homo sapiens	CD151 molecule (Raph blood group)(CD151)
NM_001159286	HDAC10	Homo sapiens	histone deacetylase 10(HDAC10)
NM_001159285	ADAD1	Homo sapiens	adenosine deaminase domain containing 1(ADAD1)
NM_001159280	MAPDA	Homo sapiens	N6-Methyl-AMP deaminase(MAPDA)
NM_001160277	CERKL	Homo sapiens	CERK like autophagy regulator(CERKL)
NM_001160264	FEZF1	Homo sapiens	FEZ family zinc finger 1(FEZF1)
NM_001160260	CNR1	Homo sapiens	cannabinoid receptor 1(CNR1)
NM_001160266	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
NM_001160267	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
NM_001159279	ZNF716	Homo sapiens	zinc finger protein 716(ZNF716)
NM_001160259	CNR1	Homo sapiens	cannabinoid receptor 1(CNR1)
NM_001160258	CNR1	Homo sapiens	cannabinoid receptor 1(CNR1)
NM_001160243	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
NM_001160246	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
NM_001160244	RPAIN	Homo sapiens	RPA interacting protein(RPAIN)
NM_001162894	KIAA0040	Homo sapiens	KIAA0040(KIAA0040)
NM_001162893	KIAA0040	Homo sapiens	KIAA0040(KIAA0040)
NM_001160230	ADARB1	Homo sapiens	adenosine deaminase RNA specific B1(ADARB1)
NM_001160233	ATP1A1	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)
NM_001160234	ATP1A1	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)
NM_001162895	KIAA0040	Homo sapiens	KIAA0040(KIAA0040)
NM_025081	NYNRIN	Homo sapiens	NYN domain and retroviral integrase containing(NYNRIN)
NM_025082	CENPT	Homo sapiens	centromere protein T(CENPT)
NM_025080	ASRGL1	Homo sapiens	asparaginase and isoaspartyl peptidase 1(ASRGL1)
NM_025087	CWH43	Homo sapiens	cell wall biogenesis 43 C-terminal homolog(CWH43)
NM_025083	EDC3	Homo sapiens	enhancer of mRNA decapping 3(EDC3)
NM_001111298	PPIL6	Homo sapiens	peptidylprolyl isomerase like 6(PPIL6)
NM_001160226	CNR1	Homo sapiens	cannabinoid receptor 1(CNR1)
NM_001160227	SPG11	Homo sapiens	SPG11 vesicle trafficking associated, spatacsin(SPG11)
NM_001160224	RNF170	Homo sapiens	ring finger protein 170(RNF170)
NM_001160225	RNF170	Homo sapiens	ring finger protein 170(RNF170)
NM_001160223	RNF170	Homo sapiens	ring finger protein 170(RNF170)
NM_025092	PGGHG	Homo sapiens	protein-glucosylgalactosylhydroxylysine glucosidase(PGGHG)
NM_025090	USP36	Homo sapiens	ubiquitin specific peptidase 36(USP36)
NM_025098	MOGAT2	Homo sapiens	monoacylglycerol O-acyltransferase 2(MOGAT2)
NM_025099	CTC1	Homo sapiens	CST telomere replication complex component 1(CTC1)
NM_001135254	PAX7	Homo sapiens	paired box 7(PAX7)
NM_001160210	SLC25A13	Homo sapiens	solute carrier family 25 member 13(SLC25A13)
NM_025058	TRIM46	Homo sapiens	tripartite motif containing 46(TRIM46)
NM_025059	CCDC170	Homo sapiens	coiled-coil domain containing 170(CCDC170)
NM_001160213	PMFBP1	Homo sapiens	polyamine modulated factor 1 binding protein 1(PMFBP1)
NM_025065	RPF1	Homo sapiens	ribosome production factor 1 homolog(RPF1)
NM_025063	MROH9	Homo sapiens	maestro heat like repeat family member 9(MROH9)
NM_001135255	RBBP4	Homo sapiens	RB binding protein 4, chromatin remodeling factor(RBBP4)
NM_025061	LRRC8E	Homo sapiens	leucine rich repeat containing 8 VRAC subunit E(LRRC8E)
NM_001135256	RBBP4	Homo sapiens	RB binding protein 4, chromatin remodeling factor(RBBP4)
NM_025069	ZNF703	Homo sapiens	zinc finger protein 703(ZNF703)
NM_025078	SLC66A2	Homo sapiens	solute carrier family 66 member 2(SLC66A2)
NM_025079	ZC3H12A	Homo sapiens	zinc finger CCCH-type containing 12A(ZC3H12A)
NM_025076	UXS1	Homo sapiens	UDP-glucuronate decarboxylase 1(UXS1)
NM_025077	TOE1	Homo sapiens	target of EGR1, exonuclease(TOE1)
NM_025074	FRAS1	Homo sapiens	Fraser extracellular matrix complex subunit 1(FRAS1)
